gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
925769751	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bf34d77e-f301-11e3-8701-005056a90e32	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarki henshawi		US	Marys River at head of Chalk Basin, on Jeep trail, ca. 5 mi ESE of Charleston	Nevada	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	41.639722	-115.396667							2001-08-16	16	8	2001	5711984	11115657	PRESERVED_SPECIMEN	UA	UAIC	13434.04				CC0_1_0		A.L. George, D.A. Neely		native	2024-04-29T09:17:14.117Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
925761752	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bea41d3e-f301-11e3-8701-005056a90e32	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarki henshawi		US	Heenan Lake along CA Hwy 89, just E of Markleeville (Lahonton River)	California	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	38.651389	-119.658056							1996-10-14	14	10	1996	5711984	11115657	PRESERVED_SPECIMEN	UA	UAIC	11545.01				CC0_1_0		J.R. Tomelleri, R. Cutter, L. Cutter,		native	2024-04-29T09:17:15.368Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY
890182670	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:236862	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Independence Creek	California	PRESENT	5	66522820-055c-11d8-b84e-b8a03c50a862									1966-09-04	4	9	1966	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	236862		Robert N. Lea	2014-01-01T00:00:00	CC0_1_0					2025-01-22T20:04:35.491Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
863118904	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Ich:26805	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarki henshawi		US	Lake Tahoe	California	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	39.09603	-120.0332	18029.0	1.0E-5									5711984	11115657	PRESERVED_SPECIMEN	MCZ	Ich	26805		Ledger		CC_BY_NC_4_0	President and Fellows of Harvard College	[no agent data]			2025-01-25T00:42:07.684Z		TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
473372271	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:66313	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Walker Lake, south end	Nevada	PRESENT	2	66522820-055c-11d8-b84e-b8a03c50a862	38.657376	-118.709594	6867.0										5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	66313		W. I. Follett		CC0_1_0					2025-01-22T20:04:21.378Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473372269	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:66312	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Twin Lakes	California	PRESENT	1	66522820-055c-11d8-b84e-b8a03c50a862	38.15446	-119.348638	2940.0						1933-06-13	13	6	1933	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	66312				CC0_1_0					2025-01-22T20:04:20.895Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473372267	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:66311	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Verdi State Fish Hatchery. First generation from Walker Lake Stock	Nevada	PRESENT	1	66522820-055c-11d8-b84e-b8a03c50a862									1957-10-24	24	10	1957	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	66311		P. R. Needham	1957-01-01T00:00:00	CC0_1_0		Needham, Paul R.			2025-01-22T20:04:21.722Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473372265	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:66310	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Hennan Lake		PRESENT	8	66522820-055c-11d8-b84e-b8a03c50a862													5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	66310				CC0_1_0					2025-01-22T20:04:23.348Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473372262	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:66309	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Independence Lake	California	PRESENT	2	66522820-055c-11d8-b84e-b8a03c50a862	39.442565	-120.309527	2023.0										5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	66309				CC0_1_0					2025-01-22T20:04:20.660Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473370015	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:62375	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Independence Lake, Sierra & Nevada Cos., California	California	PRESENT	4	66522820-055c-11d8-b84e-b8a03c50a862	39.442298	-120.309666	2112.0										5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	62375				CC0_1_0		Behnke, Robert J.			2025-01-22T20:04:20.155Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473299557	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:22581	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Conrad Cr.	Nevada	PRESENT	2	66522820-055c-11d8-b84e-b8a03c50a862									1963-08-08	8	8	1963	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	22581		R. J. Behnke	1964-01-01T00:00:00	CC0_1_0		Nisbet, W. A.			2025-01-22T20:04:07.223Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473299552	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:22574	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Foreman Cr.	Nevada	PRESENT	2	66522820-055c-11d8-b84e-b8a03c50a862									1962-08-31	31	8	1962	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	22574		R. J. Behnke	1964-01-01T00:00:00	CC0_1_0		Nisbet, W. A.			2025-01-22T20:04:04.852Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473299520	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:22565	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Rock Cr.	Nevada	PRESENT	3	66522820-055c-11d8-b84e-b8a03c50a862									1961-07-16	16	7	1961	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	22565		R. J. Behnke	1964-01-01T00:00:00	CC0_1_0		Nisbet, W. A.; Behnke, R. J.			2025-01-22T20:04:04.852Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473299517	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:22564	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Lewis (Willow) Cr.	Nevada	PRESENT	2	66522820-055c-11d8-b84e-b8a03c50a862									1961-07-16	16	7	1961	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	22564		R. J. Behnke	1964-01-01T00:00:00	CC0_1_0		Nisbet, W. A.; Behnke, R. J.			2025-01-22T20:04:07.284Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
473299514	5d6c10bd-ea31-4363-8b79-58c96d859f5b	urn:catalog:CAS:ICH:22563	Animalia	Chordata		Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus henshawi	henshawi	SUBSPECIES	Oncorhynchus clarkii henshawi (Gill & Jordan, 1878)	Oncorhynchus clarkii henshawi		US	Nelson Cr.	Nevada	PRESENT	5	66522820-055c-11d8-b84e-b8a03c50a862									1961-07-16	16	7	1961	5711984	11115657	PRESERVED_SPECIMEN	CAS	ICH	22563		R. J. Behnke	1964-01-01T00:00:00	CC0_1_0		Nisbet, W. A.; Behnke, R. J.			2025-01-22T20:04:07.223Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
